generation_number,offsprings_per_generation,male_offsprings_per_generation,female_offsprings_per_generation,duration
633,9,2,7,34232406917
634,2,0,2,22875530482
635,5,2,3,29030595927
636,3,2,1,14842342689
637,3,1,2,22619958623
638,1,0,1,22947629802
639,1,0,1,23121876074
640,2,1,1,73163952630
641,1,1,0,23121514492
642,0,0,0,0
643,0,0,0,0
644,0,0,0,0
645,1,1,0,45026470496
